JD,Bmag,Berr,Jmag,Jerr
2457152.70735,16.103,0.077,13.676,0.028
2457154.61255,16.052,0.006,13.533,0.008
2457155.5808,15.896,0.005,13.297,0.007
2457156.69419,15.9,0.004,13.288,0.006
2457157.57942,15.576,0.004,13.047,0.006
2457158.63753,15.573,0.004,13.127,0.006
2457164.56343,15.675,0.005,13.116,0.008
2457165.56934,15.49,0.007,12.896,0.01
2457135.72939,15.874,0.004,13.157,0.006
2457158.63753,15.573,0.004,13.127,0.006
2457164.56343,15.675,0.005,13.116,0.008
2457165.56934,15.49,0.007,12.896,0.01
2457135.72939,15.874,0.004,13.157,0.006
2457158.63753,15.573,0.004,13.127,0.006
2457164.56343,15.675,0.005,13.116,0.008
2457165.56934,15.49,0.007,12.896,0.01

